ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2017-0075,12/06/2017,2017,6,12,PEATON,PEATON,MASCULINO,55,12/06/2017
2017-0076,13/06/2017,2017,6,13,PEATON,PEATON,FEMENINO,30,13/06/2017
2017-0077,17/06/2017,2017,6,17,CONDUCTOR,MOTO,FEMENINO,60,18/06/2017
2017-0079,19/06/2017,2017,6,19,CONDUCTOR,MOTO,MASCULINO,33,19/06/2017
2017-0080,22/06/2017,2017,6,22,PEATON,PEATON,FEMENINO,95,22/06/2017
2017-0082,25/06/2017,2017,6,25,PEATON,PEATON,MASCULINO,36,25/06/2017
2017-0083,04/07/2017,2017,7,4,CONDUCTOR,MOTO,MASCULINO,37,04/07/2017
2017-0084,05/07/2017,2017,7,5,PEATON,PEATON,FEMENINO,73,05/07/2017
2017-0085,07/07/2017,2017,7,7,PEATON,PEATON,MASCULINO,84,07/07/2017
2017-0086,09/07/2017,2017,7,9,PEATON,PEATON,FEMENINO,30,09/07/2017
2017-0087,10/07/2017,2017,7,10,PEATON,PEATON,FEMENINO,73,10/07/2017
2017-0088,10/07/2017,2017,7,10,PEATON,PEATON,MASCULINO,43,10/07/2017
2017-0089,13/07/2017,2017,7,13,SD,SD,MASCULINO,23,SD
2017-0090,15/07/2017,2017,7,15,PEATON,PEATON,MASCULINO,22,15/07/2017
2017-0091,15/07/2017,2017,7,15,CONDUCTOR,MOTO,MASCULINO,58,15/07/2017
2017-0092,24/07/2017,2017,7,24,PEATON,PEATON,MASCULINO,66,24/07/2017
2017-0093,25/07/2017,2017,7,25,PEATON,PEATON,MASCULINO,SD,25/07/2017
2017-0094,27/07/2017,2017,7,27,CICLISTA,BICICLETA,FEMENINO,56,27/07/2017
2017-0095,06/08/2017,2017,8,6,CONDUCTOR,MOTO,MASCULINO,36,06/08/2017
2017-0096,07/08/2017,2017,8,7,PEATON,PEATON,MASCULINO,87,07/08/2017
2017-0098,08/08/2017,2017,8,8,PEATON,PEATON,FEMENINO,61,08/08/2017
2017-0099,17/08/2017,2017,8,17,CICLISTA,BICICLETA,MASCULINO,28,17/08/2017
2017-0100,21/08/2017,2017,8,21,PASAJERO_ACOMPA¥ANTE,MOTO,FEMENINO,16,21/08/2017
2017-0101,23/08/2017,2017,8,23,PEATON,PEATON,FEMENINO,61,23/08/2017
2017-0102,24/08/2017,2017,8,24,PEATON,PEATON,MASCULINO,46,24/08/2017
2017-0104,25/08/2017,2017,8,25,PEATON,PEATON,FEMENINO,18,25/08/2017
2017-0106,31/08/2017,2017,8,31,PEATON,PEATON,FEMENINO,85,31/08/2017
2017-0107,01/09/2017,2017,9,1,CONDUCTOR,MOTO,MASCULINO,41,01/09/2017
2017-0108,02/09/2017,2017,9,2,PASAJERO_ACOMPA¥ANTE,AUTO,MASCULINO,17,02/09/2017
2017-0108,02/09/2017,2017,9,2,PASAJERO_ACOMPA¥ANTE,AUTO,MASCULINO,10,02/09/2017
2017-0109,04/09/2017,2017,9,4,CONDUCTOR,MOTO,MASCULINO,21,05/09/2017
